schools,degrees,name,full_name,born,died,spouses,parents,sibling,offspring,second_cousin,cousin,occupation,employer,positions
,,Benjamin Faneuil Dunkin,,"December 2, 1792","December 5, 1874",Washington Sala Prentiss,,,,,,,,Chief Justice of South Carolina
,,Benjamin Fontaine,,1837-02-27,"January 9, 1910",Desiree Fontaine,,,4,,,,,Member of the Wisconsin State Assemblyfrom the Brown 1st district
,,Benjamin Fitzpatrick,,1802-06-30,"November 21, 1869",Sarah Elmore,,,,,,,,"President pro tempore of the United States Senate,United States Senatorfrom Alabama,11th Governor of Alabama"
,,Benjamin Fletcher,,1640-05-14,28 May 1703,Elizabeth Hodson,William Fletcher,,,,,,,"Governor of the Province of New York,Governor of the Province of Pennsylvania"
University of Virginia,,Benjamin Franklin Buchanan,,"October 4, 1857","February 21, 1932",Eleanor Fairman Sheffey,,,,,,,,"Member of the Virginia Senatefrom the 15th district,21st Lieutenant Governor of Virginia,Member of the Virginia Senatefrom the 1st district"
"Sewanee: The University of the South,Samford University","LLB,AB",Benjamin Franklin Cameron Jr.,Benjamin Franklin Cameron,1890-12-14,"April 3, 1964",,"Benjamin Franklin Cameron Sr., Elizabeth Garner Cameron",,,,,,,Judge of the United States Court of Appeals for the Fifth Circuit
,,Benjamin Jones,"Benjamin Franklin Jones, Sr.",1824-08-08,"May 19, 1903",Mary McMasters,,,1,,,,,Chair of the Republican National Committee
,,Benjamin Perry,Benjamin Franklin Perry,1805-11-20,"December 3, 1886",,,,,,,,,"United States Senator-electfrom South Carolina,Governor of South Carolina"
,,Benjamin Franklin Howell,,"January 27, 1844","February 1, 1933",,,,,,,,,Member of the U.S. House of Representativesfrom New Jersey's 3rd district
,,Benjamin Franklin Loan,,1819-10-04,"March 30, 1881",,,,,,,,,
,,Ben Wilson,,1855,1934,Jenny Horne,,,,,,politician,,"Speaker of the Oklahoma House of Representatives,Member of the Oklahoma House of Representatives"
,,Benjamin G. Orr,Benjamin Grayson Orr,1762,1822,,,,,,,,," 4th Mayor of the City of Washington, DC"
,,Benjamin G. Ferris,Benjamin Gilbert Ferris,1802,"February 21, 1891 (age 89)",Elizabeth Cornelia Woodcock,,,,,,Secretary to the Territorial Government of Utah,,
,,Benjamin Grubb Humphreys,,1808-08-26,"December 20, 1882",,,,,,,,,"26th Governor of Mississippi,Member of the Mississippi Senate,Military service"
Harvard College,,Benjamin Goodhue,,1748-09-20,"July 28, 1814",,,,,,,Merchant,,"United States Senatorfrom Massachusetts,Member of theU.S. House of Representatives from Massachusetts"
"California Institute of Technology,Stanford University",,Benjamin Golub,,,,,,,,,,,,
"University of Pennsylvania,New York Law School","BS,LLB",Benjamin Gilman,Benjamin Arthur Gilman,1922-12-06,"December 17, 2016","Jane Prizant (divorced, 1954–1978; 5 children)",,,,,,,,"Chair of the House International Relations Committee,Member of the U.S. House of Representativesfrom New York,Member of the New York State Assembly from the 95th district"
,,Benjamin Gorham,,1775-02-13,"September 27, 1855",,,,,,,,,"Member of the U.S. House of Representativesfrom Massachusetts's 1st district,Member of theMassachusetts State Senate,Member of the Massachusetts House of Representatives"
"Sciences Po,HEC Paris",,Benjamin Griveaux,,1977-12-29,,Julia Minkowski,,,3,,,,,"Member of the National Assemblyfor Paris's 5th constituency,Government Spokesman,Secretary of State to the Minister of the Economy and Finance"
,,Benjamin Allmark,Benjamin Graydon Allmark,"June 1, 1911","January 4, 2004",,,,,,,,,Member of Parliamentfor Kingston
"Columbia College,Peirce School of Business",,Benjamin Guggenheim,,1865-10-26,"April 15, 1912",Florette Seligman,Meyer Guggenheim,,"Peggy Guggenheim,(Barbara) Hazel Guggenheim King-Farlow McKinley",,,Businessman,,
"Yale University,Harvard University",,Benjamin Harris,Benjamin Gwinn Harris,1805-12-13,"April 4, 1895",,,,,,,,,Member of the U.S. House of Representativesfrom Maryland's 5th district
Princeton University,"BA,MA",Benjamin Brewster,Benjamin Harris Brewster,1816-10-13,"April 4, 1888",Elizabeth von Myerbach de Reinfeldts-Shulte,,,1,,,,,"37th United States Attorney General,Attorney General of Pennsylvania"
"Claremont McKenna College,Willamette University","BA,JD",Benjamin Hale Settle,,1947 (age 74–75),,,,,,,,,,"Senior Judge of the United States District Court for the Western District of Washington,Judge of the United States District Court for the Western District of Washington"
read law,,Benjamin Harrison,Benjamin Harrison,1888-12-18,"August 13, 1960",,,,,,,,,"Chief Judge of the United States District Court for the Southern District of California,Judge of the United States District Court for the Southern District of California"
,,Benjamin Hardin Helm,,1831-06-02,"September 21, 1863",,,,,,,,,
College of New Jersey,,Benjamin Hawkins,,1754-08-15,"June 6, 1816",,,,,,,,,"United States Senatorfrom North Carolina,Member of the Congress of the Confederation,Member of the North Carolina House of Representatives"
,,Benjamin Hayden,,"September 11, 1822","October 29, 1908",Zerelda Gibson,,,,,,,,"Member of the Oregon House of Representatives,7th Speaker of the Oregon House of Representatives"
,,Benjamin Holmes,,"August 8, 1846","January 14, 1914",,,,,,,,,28th Mayor of Kansas City
,,Benjamin Henry Latrobe,,1764-05-01,"September 3, 1820",,,,,,,,,Architect of the Capitol
,,Benjamin Howland,,1755-07-27,"May 1, 1821",,,,,,,,,"United States Senatorfrom Rhode Island,Member of the Rhode Island House of Representatives"
College of William & Mary,,Benjamin Howard,,1760,"September 18, 1814",,,,,,,,,3rd Governor of Missouri Territory
Columbia University,"BA,BS",Benjamin Huberman,,1938 (age 83–84),,,,,,,,,,Director of the Office of Science and Technology Policy
,,Benjamin Huger,,1768,"July 7, 1823",,,,,,,,,"President of the South Carolina Senate,Member of the South Carolina Senate from All Saints Parish,Member of the U.S. House of Representativesfrom South Carolina's 3rd district,Member of the South Carolina House of Representatives from Prince George's, Winyah Parish"
read law,,Benjamin Johnson,Benjamin Johnson,1784-01-22,"October 2, 1849",,,,,,,,,Judge of the United States District Court for the District of Arkansas
,,Ben Davis,"Benjamin Jefferson Davis, Jr.",1903-09-08,"August 22, 1964",,,,,,,"Lawyer, Activist, Politician",,New York City Councilman
College of William and Mary,,Benjamin Harrison V,,1726-04-05,"April 24, 1791",Elizabeth Bassett,Benjamin Harrison IV,,"Benjamin Harrison VI,William Henry Harrison",,,,,"5th Governor of Virginia,Speaker of the Virginia House of Delegates,Member of the Virginia House of Delegatesfrom Charles City County"
"University at Albany,University at Buffalo","BA,JD",Ben Kallos,,1981-02-05,,,,,,,,,,Member of the New York City Councilfrom the 5th district
,,Benjamin Joseph Franklin,,March 1839,"May 19, 1898",,,,,,,,,"12th Governor of Arizona Territory,Member of the U.S. House of Representativesfrom Missouri's 8th district"
,,Benjamin Jones,,1787-04-13,"April 24, 1861",,,,,,,,,"Member of the U.S. House of Representativesfrom Ohio's 18th district,Member of the Ohio House of Representativesfrom the Wayne County district,Member of the Ohio Senatefrom the Wayne County district"
"Massachusetts Institute of Technology,Swarthmore College",,Benjamin Kuipers,,1949-04-07,,,,,,,,"Computer Scientist,Professor",University of Michigan,
,,Benjamin Jarrett,,1881-07-18,"July 20, 1944",,,,,,,,,"Member of the U.S. House of Representativesfrom Pennsylvania's 30th district,Member of the Pennsylvania House of Representatives"
,,Benjamin Knight,,1836-10-16,"June 2, 1905",Lydia A. Killey,,,3,,,,,"Member of the California Senatefrom the 6th district,Military service"
Susquehanna University,,Benjamin K. Focht,,1863-03-12,"March 27, 1937",,,,,,,,,"Member of the U.S. House of Representativesfrom Pennsylvania's 18th district,Member of the U.S. House of Representativesfrom Pennsylvania's 17th district,Member of the Pennsylvania House of Representatives,Member of the Pennsylvania Senate"
"Virginia Union University,New England College of Optometry",,Benjamin Lambert,"Benjamin Joseph Lambert, III",1937-01-29,"March 2, 2014",Carolyn Lee Morris,,,,,,optometrist,,"Member of the Virginia Senatefrom the 9th district,Member of the Virginia House of Delegatesfrom the 71st district,Member of the Virginia House of Delegatesfrom the 33rd district"
University of Pennsylvania Law School,,Benjamin M. Golder,,1891-12-23,"December 30, 1946",,,,,,,,,"Member of the U.S. House of Representativesfrom Pennsylvania's 4th district,Member of the Pennsylvania House of Representatives,Military service"
"Ohio State University,University of Chicago","BA,JD",Ben Flowers,, 1987 (age 34–35),,,,,,,,,,10th Solicitor General of Ohio
,,Benjamin Lincoln,,1733-01-24,"May 9, 1810",Mary Cushing,,,,,,,,"1st Collector of the Port of Boston,2nd Lieutenant Governor of Massachusetts,1st United States Secretary at War,1st Clerk of the Massachusetts Provincial Congress,Committee of Safety,Military service"
Eton College,,The Lord Mancroft,,1957-05-16,,,,,,,,,,Member of the House of LordsLord Temporal
,,Benjamin Mills,,"January 12, 1779","December 6, 1831",Mary Read Thornton,,,,,,,,Associate Justice of the Kentucky Court of Appeals
,,Benjamin Le Fevre,,1838-10-08,"March 7, 1922",,,,,,,,,Military service
King's College,,Benjamin Moore,,1748-10-05,"February 27, 1816",Charity Clarke,Samuel Moore,,Clement Clarke Moore,,,,,"2nd Bishop of New York,5th President of Columbia University,ActingPresident of King's College"
Columbia University,"BA,MA",Benjamin N. Cardozo,Benjamin Nathan Cardozo,1870-05-24,"July 9, 1938",,Albert Cardozo,,,,,,,"Associate Justice of the Supreme Court of the United States,Chief Judge of the New York Court of Appeals,Associate Judge of the New York Court of Appeals,Justice of the Supreme Court of New York for the First Judicial Division"
,,Benjamin Nabers,,1812-11-07,"September 6, 1878",,,,,,,,,Member of the U.S. House of Representativesfrom Mississippi's 1st district
"Bethany College,Columbia University",,Benjamin Barker Odell Jr.,,1854-01-14,"May 9, 1926",Estelle Crist (1877–88; her death),,,,,,,,"34th Governor of New York,Member of the U.S. House of Representativesfrom New York's 17th district"
,,Benjamin Ogle,,1749-01-27,"July 7, 1809",Henrietta Margaret Hill,,,2,,,,,9th Governor of Maryland
"Trinity College,George Washington University",,Benjamin Muse,Benjamin Muse,1898-04-17,"May 4, 1986",Beatriz de Regil,,,,,,,,"Member of the Virginia Senatefrom the 8th district,Military service"
,,Benjamin Penfield Mead,,"September 21, 1849","March 19, 1913",Florence Heath,,,"Benjamin Mead, Harold Mead, Florence Mead",,,"grocer, real estate",,"Connecticut State Comptroller,Member of the Connecticut Senate from the 12th District,Member of the Connecticut House of Representatives from New Canaan"
University of Iowa,,Benjamin Pixley Birdsall,,1858-10-26,"May 16, 1916",,,,,,,,,"District judge of the 11th judicial district of Iowa,Member of the U.S. House of Representativesfrom Iowa's 3rd district"
,,Benjamin Parke,,1777-09-02,"July 12, 1835",,,,,,,,,"Judge of the United States District Court for the District of Indiana,Delegate to theU.S. House of Representativesfrom the Indiana Territory'sat-large district,1st Attorney General of the Indiana Territory"
Harvard University,,Benjamin Peirce,,1809-04-04,"October 6, 1880",Sarah Hunt Mills,Benjamin Peirce (librarian),,"Charles Sanders Peirce,Herbert H. D. Peirce",,,,,
,,Benjamin Pierce,,1757-12-25,"April 1, 1839","Elizabeth Andrews (m. 1787–1788, her death)",,,"Benjamin Kendrick Pierce,Franklin Pierce",,,Farmer,,"11th Governor of New Hampshire,Sheriff of Hillsborough County, New Hampshire,Member of the New Hampshire House of Representatives from Deering, Society Land, Henniker, and Hillsborough"
,,Bemjamin Pond,,1768,"October 6, 1814",,,,,,,,,Member of the U.S. House of Representativesfrom New York's 8th district
,,Benjamin Peirce,,1778-09-30,26 July 1831,Lydia R. Nichols,,,Benjamin Peirce,,,Librarian,Harvard Library,
Dartmouth College,,Benjamin Orr,,1772-12-01,"September 3, 1828",,,,,,,Lawyer,,Member of the U.S. House of Representativesfrom Massachusetts's 16th district
"Johns Hopkins University,University of Maryland, Baltimore","BA,LLB",Ben Civiletti,Benjamin Richard Civiletti,1935-07-17,,Gaile Lundgren,,,3,,,,,"73rd United States Attorney General,17th United States Deputy Attorney General,United States Assistant Attorney General for the Criminal Division"
"Princeton University,University of Pennsylvania",,Benjamin R. Jones,,1906-05-29,"July 24, 1980",Jane Griffith,,,,,,,,"Chief Justice of the Supreme Court of Pennsylvania,Justice of the Supreme Court of Pennsylvania,Military service"
,,Benjamin R. Donolow,,"May 24, 1917","November 27, 1972",,,,,,,,,"Member of the Pennsylvania Senatefrom the 2nd district,Military service"
"Community College of Philadelphia,Southern New Hampshire University,Temple University",,Benjamin Ramos,,1956-08-31,,Carmen P.,,,"Benjamin Ramos, Jr.",,,,,Member of the Pennsylvania House of Representativesfrom the 180th district
,,Benjamin Ruggles,,1783-02-21,"September 2, 1857",,,,,,,,,United States Senatorfrom Ohio
,,Benjamin J. Reynolds,,"January 29, 1927","August 25, 1976 (aged 49)",,,,,,,,,"Member of the Pennsylvania House of Representativesfrom the 158th district,Member of the Pennsylvania House of Representativesfrom the Chester County district"
Harvard University,"BA,LLB",Benjamin Robbins Curtis,,1809-11-04,", U.S.","
",,,12,,,,,Associate Justice of the Supreme Court of the United States
,,Benjamin Conrad Robbins,,1857,20 January 1953,,,,,,,,,14th Mayor of Tauranga
"Amherst College,Hartford Theological Seminary",Hartford Theological Seminary,Benjamin Rush Rhees,,1860-02-08,"January 4, 1939",Harriet Chapin Seelye Rhees,John E. Rhees,,Rush Rhees,,,,,3rd President of the University of Rochester
,,Benjamin Pickman Jr.,,1763-09-30,"August 16, 1843",Anstiss Derby,,,Benjamin T. Pickman,,,,,"Member of the U.S. House of Representativesfrom Massachusetts's 2nd district,Member of the Massachusetts House of Representatives,Member of the Massachusetts Senate"
,,Benjamin S. Paulen,,"July 14, 1869","July 11, 1961",Barbara Ellis,,,,,,,,"23rd Governor of Kansas,23rd Lieutenant Governor of Kansas,Member of the Kansas Senate"
,,Benjamin Sterling Turner,,1825-03-17,"March 21, 1894",,,,,,,,,Member of the U.S. House of Representativesfrom Alabama's 1st district
,,Benjamin Sprague Cowen,,1793-09-27,"September 27, 1869",Anne Wood,,,Benjamin R. Cowen,,,,,"Member of the U.S. House of Representativesfrom Ohio's 11th district,Member of the Ohio House of Representativesfrom the Belmont County district"
,,Benjamin Stanton,,1809-06-04,"June 2, 1872",,,,,,,,,"Member of the U.S. House of Representativesfrom Ohio's 4th district,Member of the U.S. House of Representativesfrom Ohio's 8th district,6th Lieutenant Governor of Ohio,Member of the Ohio Senatefrom the Champaign, Logan and Union Counties district"
,,Benjamin Stark,,1820-06-26,"October 10, 1898",Elizabeth Molthrop,,,,,,,,United States Senatorfrom Oregon
University of Pennsylvania,,Benjamin Stoddert,,1751,"December 18, 1813 (aged 68–69)",Rebecca Lowndes,,,,,,,,1st United States Secretary of the Navy
Litchfield Law School,,Benjamin Swift,,1781-04-03,"November 11, 1847",Rebecca Brown Swift,Job Swift,,Charles Henry Swift,,,,,"United States Senatorfrom Vermont,Member of the United States House of Representatives from Vermont's 4th congressional district,Member of the Vermont House of Representatives"
,,Benjamin Toppan Pickman,,1790,"March 12, 1835",Hannah Bright,,,,,,,,"Member of the Massachusetts Senatefrom the Suffolk district,President of the Massachusetts Senate[1],President of the City of Boston Common Council [2],Member of the City of Boston Common Councilfrom Ward 7 [2]"
